N,q,N2_func,mobile,n,variance,std,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,0_0_0,1000,1000,6,8,1.7986251075137614,0,1.0,0.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,0_0_1,1000,1000,7,13,10.751534091142375,0,1.0,0.0
300,0.01,10.0,1.0,34.0,2.9699999999999998,1.7233687939614086,30.0,0_0_2,1000,1000,5,10,15.08373426002081,0,1.0,0.0
400,0.01,10.0,1.0,45.0,3.96,1.98997487421324,40.0,0_0_3,1000,1000,13,10,12.22493814616284,0,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,0_0_4,1000,1000,10,7,26.387006617122445,0,1.0,0.0
600,0.01,15.0,1.0,96.0,5.9399999999999995,2.437211521390788,90.0,0_0_5,1000,1000,8,10,30.536660188845076,0,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,0_0_6,1000,1000,10,10,30.769791946920986,0,1.0,0.0
800,0.01,15.0,1.0,123.0,7.92,2.814249455894058,120.0,0_0_7,1000,1000,13,10,28.194380094551587,0,1.0,0.0
900,0.01,15.0,1.0,147.0,8.91,2.98496231131986,135.0,0_0_8,1000,1000,9,4,35.966625533456366,0,1.0,0.0
1000,0.01,20.0,1.0,214.0,9.9,3.146426544510455,200.0,0_0_9,1000,1000,6,11,57.366779942671826,0,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,0_1_0,1000,1000,11,15,2.0239315272192986,0,1.0,0.0
200,0.01,10.0,1.0,20.0,1.98,1.407124727947029,20.0,0_1_1,1000,1000,12,13,6.5999307058792125,0,1.0,0.0
300,0.01,10.0,1.0,37.0,2.9699999999999998,1.7233687939614086,30.0,0_1_2,1000,1000,11,15,12.961707263376152,0,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,0_1_3,1000,1000,10,4,12.953347907679486,0,1.0,0.0
