N,q,N2_func,mobile,n,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
100,0.01,5,False,0.0,0.0,0_0_0,100,100,1,1,-2.004257190751136,0,0.0,0.0
200,0.01,5,False,0.0,0.0,0_0_1,200,200,1,1,-2.3031798925131906,0,0.0,0.0
300,0.01,5,False,4.0,0.0,0_0_2,300,300,4,2,-0.3003067740448851,0,1.0,0.0
400,0.01,5,False,3.0,0.0,0_0_3,400,400,3,4,-0.30048746657168646,0,1.0,0.0
500,0.01,5,False,6.0,0.0,0_0_4,500,500,3,3,-0.17653104547572307,0,1.0,0.0
600,0.01,5,False,1.0,0.0,0_0_5,600,600,6,6,-0.8322194807272627,0,1.0,0.0
700,0.01,5,False,7.0,0.0,0_0_6,700,700,9,5,-0.35817576959368214,0,1.0,0.0
800,0.01,5,False,5.0,0.0,0_0_7,800,800,15,6,-0.5979669242342717,0,1.0,0.0
900,0.01,5,False,8.0,0.0,0_0_8,900,900,7,8,-0.2730332583588853,0,1.0,0.0
1000,0.01,5,False,7.0,0.0,0_0_9,1000,1000,9,13,-0.35793188160536554,0,1.0,0.0
100,0.01,5,False,0.0,0.0,0_1_0,100,100,2,1,-2.0020693046029607,0,0.0,0.0
200,0.01,5,False,0.0,0.0,0_1_1,200,200,1,3,-2.0021498968492084,0,0.0,0.0
300,0.01,5,False,2.0,0.0,0_1_2,300,300,3,5,-0.39504699774044694,0,1.0,0.0
400,0.01,5,False,2.0,0.0,0_1_3,400,400,5,5,-0.5386485818780052,0,1.0,0.0
500,0.01,5,False,6.0,0.0,0_1_4,500,500,5,1,-0.2629531735563765,0,1.0,0.0
600,0.01,5,False,9.0,0.0,0_1_5,600,600,3,5,-0.07034892729773717,0,1.0,0.0
700,0.01,5,False,8.0,0.0,0_1_6,700,700,8,5,-0.30071989605644417,0,1.0,0.0
800,0.01,5,False,5.0,0.0,0_1_7,800,800,12,8,-0.5277730074571472,0,1.0,0.0
900,0.01,5,False,12.0,0.0,0_1_8,900,900,6,14,-0.1776776773887051,0,1.0,0.0
1000,0.01,5,False,16.0,0.0,0_1_9,1000,1000,9,15,-0.19514185559537145,0,1.0,0.0
100,0.01,5,False,0.0,0.0,0_2_0,100,100,1,2,-1.8281659316954548,0,0.0,0.0
200,0.01,5,False,0.0,0.0,0_2_1,200,200,3,2,-2.124906244533876,0,0.0,0.0
300,0.01,5,False,5.0,0.0,0_2_2,300,300,7,5,-0.377730689065498,0,1.0,0.0
400,0.01,5,False,4.0,0.0,0_2_3,400,400,1,4,-0.09776284706434157,0,1.0,0.0
500,0.01,5,False,5.0,0.0,0_2_4,500,500,2,7,-0.14778995281712112,0,1.0,0.0
600,0.01,5,False,5.0,0.0,0_2_5,600,600,11,12,-0.49912222582828825,0,1.0,0.0
700,0.01,5,False,8.0,0.0,0_2_6,700,700,10,7,-0.35124615943971005,0,1.0,0.0
800,0.01,5,False,10.0,0.0,0_2_7,800,800,10,10,-0.30075864640060707,0,1.0,0.0
900,0.01,5,False,6.0,0.0,0_2_8,900,900,12,12,-0.4737302679218381,0,1.0,0.0
1000,0.01,5,False,5.0,0.0,0_2_9,1000,1000,12,10,-0.5279087974261975,0,1.0,0.0
100,0.01,5,False,1.0,0.0,0_3_0,100,100,0,2,-0.004300622370942271,0,1.0,0.0
200,0.01,5,False,2.0,0.0,0_3_1,200,200,1,1,-0.1760913402889136,0,1.0,0.0
300,0.01,5,False,4.0,0.0,0_3_2,300,300,1,8,-0.1011088198439139,0,1.0,0.0
400,0.01,5,False,4.0,0.0,0_3_3,400,400,6,5,-0.3957595576612753,0,1.0,0.0
500,0.01,5,False,6.0,0.0,0_3_4,500,500,6,6,-0.30059591818466297,0,1.0,0.0
600,0.01,5,False,0.0,0.0,0_3_5,600,600,6,9,-2.0780878063122494,0,0.0,0.0
700,0.01,5,False,4.0,0.0,0_3_6,700,700,7,7,-0.43715595413049546,0,1.0,0.0
800,0.01,5,False,14.0,0.0,0_3_7,800,800,11,8,-0.2520714109618311,0,1.0,0.0
900,0.01,5,False,13.0,0.0,0_3_8,900,900,10,8,-0.2480500410092915,0,1.0,0.0
1000,0.01,5,False,15.0,0.0,0_3_9,1000,1000,4,14,0.4954173840860643,0,1.0,0.0
100,0.01,5,False,2.0,0.0,0_4_0,100,100,1,3,-0.1782694816169762,0,1.0,0.0
200,0.01,5,False,2.0,0.0,0_4_1,200,200,2,4,-0.2999456143717609,0,1.0,0.0
300,0.01,5,False,4.0,0.0,0_4_2,300,300,3,6,-0.24358985393317792,0,1.0,0.0
400,0.01,5,False,1.0,0.0,0_4_3,400,400,6,3,-0.8337913088889493,0,1.0,0.0
500,0.01,5,False,2.0,0.0,0_4_4,500,500,6,1,-0.5998851964576081,0,1.0,0.0
600,0.01,5,False,5.0,0.0,0_4_5,600,600,8,3,-0.41373728281157046,0,1.0,0.0
700,0.01,5,False,3.0,0.0,0_4_6,700,700,8,6,-0.5603390893181802,0,1.0,0.0
800,0.01,5,False,14.0,0.0,0_4_7,800,800,7,5,-0.17664376504922702,0,1.0,0.0
900,0.01,5,False,11.0,0.0,0_4_8,900,900,8,10,-0.2378502461203513,0,1.0,0.0
1000,0.01,5,False,14.0,0.0,0_4_9,1000,1000,7,10,-0.17708041370291225,0,1.0,0.0
100,0.01,5,False,0.0,0.0,1_0_0,100,100,1,2,-1.8281659316954548,1,0.0,0.0
200,0.01,5,False,1.0,0.0,1_0_1,200,200,5,2,-0.7641641679207799,1,1.0,0.0
300,0.01,5,False,7.0,0.0,1_0_2,300,300,3,4,-0.15627297264306697,1,1.0,0.0
400,0.01,5,False,2.0,0.0,1_0_3,400,400,3,1,-0.39685425491540105,1,1.0,0.0
500,0.01,5,False,5.0,0.0,1_0_4,500,500,5,5,-0.3005959181846627,1,1.0,0.0
600,0.01,5,False,6.0,0.0,1_0_5,600,600,4,5,-0.22221507999365914,1,1.0,0.0
700,0.01,5,False,8.0,0.0,1_0_6,700,700,8,10,-0.3007198960564451,1,1.0,0.0
