N,q,N2_func,mobile,n,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
100,0.001,5,True,1.0,1.0,0_0_0,1000,1000,2,1,0.2630034437796007,0,1.0,0.0
100,0.002,5,True,1.0,1.0,0_0_1,1000,1000,2,1,0.2630034437796007,0,1.0,0.0
100,0.003,5,True,2.0,2.0,0_0_2,1000,1000,2,2,0.8303678159386094,0,1.0,0.0
100,0.004,5,True,2.0,2.0,0_0_3,1000,1000,4,6,0.43097460688066075,0,1.0,0.0
100,0.005,5,True,3.0,3.0,0_0_4,1000,1000,8,3,0.34525688779995983,0,1.0,0.0
100,0.006,5,True,3.0,3.0,0_0_5,1000,1000,9,6,0.264901949054414,0,1.0,0.0
100,0.007,5,True,5.0,4.0,0_0_6,1000,1000,4,8,2.3595025871922397,0,1.0,0.0
100,0.008,5,True,4.0,4.0,0_0_7,1000,1000,2,7,2.3058440297337226,0,1.0,0.0
100,0.009,5,True,6.0,5.0,0_0_8,1000,1000,11,12,1.4451570515205208,0,1.0,0.0
100,0.01,5,True,7.0,5.0,0_0_9,1000,1000,5,7,3.5637389095254353,0,1.0,0.0
200,0.001,5,True,1.0,1.0,0_0_10,1000,1000,3,0,-0.12472195852312476,0,1.0,0.0
200,0.002,5,True,3.0,2.0,0_0_11,1000,1000,1,2,1.1342580971963068,0,1.0,0.0
200,0.003,5,True,3.0,3.0,0_0_12,1000,1000,1,0,1.1360034825068324,0,1.0,0.0
200,0.004,5,True,5.0,4.0,0_0_13,1000,1000,6,3,0.6040802738788629,0,1.0,0.0
200,0.005,5,True,5.0,5.0,0_0_14,1000,1000,5,7,0.7968302832056844,0,1.0,0.0
200,0.006,5,True,9.0,6.0,0_0_15,1000,1000,10,9,1.4297939721273252,0,1.0,0.0
200,0.007,5,True,11.0,8.0,0_0_16,1000,1000,11,7,2.108546673903094,0,1.0,0.0
200,0.008,5,True,10.0,8.0,0_0_17,1000,1000,8,2,2.3837298127392432,0,1.0,0.0
200,0.009,5,True,15.0,9.0,0_0_18,1000,1000,9,9,4.766785684325846,0,1.0,0.0
200,0.01,5,True,11.0,10.0,0_0_19,1000,1000,12,6,1.8954177122597675,0,1.0,0.0
300,0.001,5,True,2.0,2.0,0_0_20,1000,1000,0,3,0.79563250503557,0,1.0,0.0
300,0.002,5,True,4.0,3.0,0_0_21,1000,1000,0,0,1.8550326189353337,0,1.0,1.0
300,0.003,5,True,8.0,5.0,0_0_22,1000,1000,4,2,1.5820464940843086,0,1.0,0.0
300,0.004,5,True,7.0,6.0,0_0_23,1000,1000,3,2,1.5141760218047329,0,1.0,0.0
300,0.005,5,True,10.0,8.0,0_0_24,1000,1000,8,4,1.18367001026577,0,1.0,0.0
300,0.006,5,True,12.0,9.0,0_0_25,1000,1000,1,5,5.475402162000713,0,1.0,0.0
300,0.007,5,True,12.0,11.0,0_0_26,1000,1000,10,5,1.4156725816929592,0,1.0,0.0
300,0.008,5,True,13.0,12.0,0_0_27,1000,1000,9,6,2.031736724430727,0,1.0,0.0
300,0.009,5,True,15.0,14.0,0_0_28,1000,1000,9,9,2.842665757109574,0,1.0,0.0
300,0.01,5,True,16.0,15.0,0_0_29,1000,1000,8,9,3.6223425112552206,0,1.0,0.0
400,0.001,5,True,2.0,2.0,0_0_30,1000,1000,0,1,0.6111714490207972,0,1.0,0.0
400,0.002,5,True,4.0,4.0,0_0_31,1000,1000,2,2,0.33275213558612105,0,1.0,0.0
400,0.003,5,True,7.0,6.0,0_0_32,1000,1000,2,0,1.3671930648637127,0,1.0,0.0
400,0.004,5,True,10.0,8.0,0_0_33,1000,1000,1,2,3.3905526331265943,0,1.0,0.0
400,0.005,5,True,12.0,10.0,0_0_34,1000,1000,4,5,2.386328768228802,0,1.0,0.0
400,0.006,5,True,12.0,12.0,0_0_35,1000,1000,10,5,0.6091760373790848,0,1.0,0.0
400,0.007,5,True,20.0,15.0,0_0_36,1000,1000,10,2,3.093393779622585,0,1.0,0.0
400,0.008,5,True,19.0,16.0,0_0_37,1000,1000,8,11,3.430714301867739,0,1.0,0.0
400,0.009,5,True,21.0,18.0,0_0_38,1000,1000,9,6,3.8219731322525297,0,1.0,0.0
400,0.01,5,True,23.0,20.0,0_0_39,1000,1000,6,7,6.013095508413407,0,1.0,0.0
500,0.001,5,True,3.0,3.0,0_0_40,1000,1000,0,3,0.8284370017465325,0,1.0,0.0
500,0.002,5,True,6.0,5.0,0_0_41,1000,1000,2,1,0.6432156757799756,0,1.0,0.0
500,0.003,5,True,8.0,8.0,0_0_42,1000,1000,0,1,2.8767307563464923,0,1.0,0.0
500,0.004,5,True,14.0,10.0,0_0_43,1000,1000,7,2,1.216764835927877,0,1.0,0.0
500,0.005,5,True,14.0,13.0,0_0_44,1000,1000,7,7,1.2143206678232794,0,1.0,0.0
500,0.006,5,True,17.0,15.0,0_0_45,1000,1000,5,6,2.914215987772159,0,1.0,0.0
500,0.007,5,True,19.0,18.0,0_0_46,1000,1000,9,6,2.029584766942539,0,1.0,0.0
500,0.008,5,True,25.0,20.0,0_0_47,1000,1000,13,10,2.5632026069380607,0,1.0,0.0
500,0.009,5,True,27.0,23.0,0_0_48,1000,1000,4,14,7.363010182874419,0,1.0,0.0
500,0.01,5,True,30.0,25.0,0_0_49,1000,1000,12,9,4.441018695576348,0,1.0,0.0
600,0.001,5,True,4.0,3.0,0_0_50,1000,1000,0,2,1.0054540950632973,0,1.0,0.0
600,0.002,5,True,8.0,6.0,0_0_51,1000,1000,1,2,1.5115007081855065,0,1.0,0.0
600,0.003,5,True,11.0,9.0,0_0_52,1000,1000,7,3,0.11311257983019257,0,1.0,0.0
600,0.004,5,True,16.0,12.0,0_0_53,1000,1000,3,3,2.8511276906106944,0,1.0,0.0
600,0.005,5,True,17.0,15.0,0_0_54,1000,1000,7,4,1.4067042703946044,0,1.0,0.0
600,0.006,5,True,22.0,18.0,0_0_55,1000,1000,5,7,3.7053846694258517,0,1.0,0.0
600,0.007,5,True,28.0,22.0,0_0_56,1000,1000,9,5,3.7410363928483146,0,1.0,0.0
600,0.008,5,True,27.0,24.0,0_0_57,1000,1000,6,2,4.8361107453164065,0,1.0,0.0
600,0.009,5,True,35.0,27.0,0_0_58,1000,1000,4,9,9.015860077720056,0,1.0,0.0
600,0.01,5,True,36.0,30.0,0_0_59,1000,1000,10,14,5.780745471136984,0,1.0,0.0
