N,q,N2_func,mobile,n,variance,std,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
20,0.005,5.0,1.0,1.0,0.0995,0.3154362059117501,1.0,0_0_0,20,20,0,0,0.00048059617334422625,0,1.0,1.0
40,0.005,5.0,1.0,1.0,0.199,0.44609416046390926,1.0,0_0_1,40,40,0,0,0.00012759943284404454,0,1.0,1.0
60,0.005,5.0,1.0,2.0,0.2985,0.5463515351859094,2.0,0_0_2,60,60,1,1,-0.17609425254877892,0,1.0,0.0
80,0.005,5.0,1.0,2.0,0.398,0.6308724118235002,2.0,0_0_3,80,80,2,0,-0.2983241022880568,0,1.0,0.0
100,0.005,5.0,1.0,4.0,0.4975,0.7053367989832943,3.0,0_0_4,100,100,0,0,0.5184936671646302,0,1.0,1.0
120,0.005,5.0,1.0,5.0,0.597,0.7726577508832743,3.0,0_0_5,120,120,0,0,0.7455125244700886,0,1.0,1.0
140,0.005,5.0,1.0,5.0,0.6965,0.834565755348253,4.0,0_0_6,140,140,1,1,0.037252732982196175,0,1.0,0.0
160,0.005,5.0,1.0,6.0,0.796,0.8921883209278185,4.0,0_0_7,160,160,0,0,0.9818450402271054,0,1.0,1.0
180,0.005,5.0,1.0,5.0,0.8955,0.9463086177352502,5.0,0_0_8,180,180,0,2,0.7271465214951398,0,1.0,0.0
200,0.005,5.0,1.0,6.0,0.995,0.9974968671630001,5.0,0_0_9,200,200,0,0,0.9776269012069342,0,1.0,1.0
220,0.005,10.0,1.0,11.0,1.0945,1.0461835403025608,11.0,0_0_10,220,220,3,1,0.22548062159482618,0,1.0,0.0
240,0.005,10.0,1.0,13.0,1.194,1.0927030703718188,12.0,0_0_11,240,240,0,0,2.839776353710772,0,1.0,1.0
260,0.005,10.0,1.0,13.0,1.2935,1.137321414552632,13.0,0_0_12,260,260,5,1,-0.04413978882115335,0,1.0,0.0
280,0.005,10.0,1.0,14.0,1.393,1.1802542099056457,14.0,0_0_13,280,280,2,0,1.2555828165913705,0,1.0,0.0
300,0.005,10.0,1.0,19.0,1.4925,1.2216791722870617,15.0,0_0_14,300,300,2,1,2.422317444348168,0,1.0,0.0
320,0.005,10.0,1.0,18.0,1.592,1.2617448236470004,16.0,0_0_15,320,320,2,1,2.171582065565529,0,1.0,0.0
340,0.005,10.0,1.0,19.0,1.6915,1.3005767951182274,17.0,0_0_16,340,340,3,2,1.7790804995082141,0,1.0,0.0
360,0.005,10.0,1.0,20.0,1.791,1.3382824813917276,18.0,0_0_17,360,360,2,1,2.651612053286214,0,1.0,0.0
380,0.005,10.0,1.0,20.0,1.8905,1.3749545447032059,19.0,0_0_18,380,380,4,2,1.47723761886604,0,1.0,0.0
400,0.005,10.0,1.0,22.0,1.99,1.4106735979665885,20.0,0_0_19,400,400,3,3,2.450753834870674,0,1.0,0.0
420,0.005,10.0,1.0,25.0,2.0895,1.4455102905202717,21.0,0_0_20,420,420,4,5,2.5577646271187158,0,1.0,0.0
440,0.005,10.0,1.0,24.0,2.189,1.479526951427381,22.0,0_0_21,440,440,0,2,5.942787738397453,0,1.0,0.0
460,0.005,10.0,1.0,24.0,2.2885000000000004,1.5127788999057332,23.0,0_0_22,460,460,4,3,2.3239762993751167,0,1.0,0.0
480,0.005,10.0,1.0,24.0,2.388,1.5453155017665485,24.0,0_0_23,480,480,2,1,3.6366379245187646,0,1.0,0.0
500,0.005,10.0,1.0,27.0,2.4875,1.5771810295587503,25.0,0_0_24,500,500,2,3,4.416322113055043,0,1.0,0.0
20,0.005,5.0,1.0,1.0,0.0995,0.3154362059117501,1.0,0_1_0,20,20,0,0,0.00048059617334422625,0,1.0,1.0
40,0.005,5.0,1.0,1.0,0.199,0.44609416046390926,1.0,0_1_1,40,40,0,0,0.00012759943284404454,0,1.0,1.0
60,0.005,5.0,1.0,3.0,0.2985,0.5463515351859094,2.0,0_1_2,60,60,0,0,0.3122868258958895,0,1.0,1.0
80,0.005,5.0,1.0,3.0,0.398,0.6308724118235002,2.0,0_1_3,80,80,1,0,-0.1240473204149185,0,1.0,0.0
100,0.005,5.0,1.0,3.0,0.4975,0.7053367989832943,3.0,0_1_4,100,100,0,1,0.3011877724129385,0,1.0,0.0
120,0.005,5.0,1.0,5.0,0.597,0.7726577508832743,3.0,0_1_5,120,120,0,1,0.7364399154895112,0,1.0,0.0
140,0.005,5.0,1.0,7.0,0.6965,0.834565755348253,4.0,0_1_6,140,140,0,1,1.2266185647019443,0,1.0,0.0
160,0.005,5.0,1.0,4.0,0.796,0.8921883209278185,4.0,0_1_7,160,160,4,1,-0.29967494157901525,0,1.0,0.0
180,0.005,5.0,1.0,5.0,0.8955,0.9463086177352502,5.0,0_1_8,180,180,0,0,0.7392477829605326,0,1.0,1.0
200,0.005,5.0,1.0,7.0,0.995,0.9974968671630001,5.0,0_1_9,200,200,1,0,0.3786990667974129,0,1.0,0.0
220,0.005,10.0,1.0,12.0,1.0945,1.0461835403025608,11.0,0_1_10,220,220,0,0,2.56536759179341,0,1.0,1.0
240,0.005,10.0,1.0,13.0,1.194,1.0927030703718188,12.0,0_1_11,240,240,1,3,1.7018076625990186,0,1.0,0.0
260,0.005,10.0,1.0,15.0,1.2935,1.137321414552632,13.0,0_1_12,260,260,1,1,2.2124079647903945,0,1.0,0.0
280,0.005,10.0,1.0,15.0,1.393,1.1802542099056457,14.0,0_1_13,280,280,3,1,0.9439501664554582,0,1.0,0.0
300,0.005,10.0,1.0,19.0,1.4925,1.2216791722870617,15.0,0_1_14,300,300,1,1,3.25643180420679,0,1.0,0.0
320,0.005,10.0,1.0,17.0,1.592,1.2617448236470004,16.0,0_1_15,320,320,1,1,2.7144934702632466,0,1.0,0.0
340,0.005,10.0,1.0,18.0,1.6915,1.3005767951182274,17.0,0_1_16,340,340,2,1,2.166449908735356,0,1.0,0.0
360,0.005,10.0,1.0,18.0,1.791,1.3382824813917276,18.0,0_1_17,360,360,3,4,1.5487265378718529,0,1.0,0.0
380,0.005,10.0,1.0,20.0,1.8905,1.3749545447032059,19.0,0_1_18,380,380,0,1,4.798300435765613,0,1.0,0.0
400,0.005,10.0,1.0,21.0,1.99,1.4106735979665885,20.0,0_1_19,400,400,5,3,1.2371399114918162,0,1.0,0.0
420,0.005,10.0,1.0,22.0,2.0895,1.4455102905202717,21.0,0_1_20,420,420,1,2,4.0300645846136405,0,1.0,0.0
440,0.005,10.0,1.0,25.0,2.189,1.479526951427381,22.0,0_1_21,440,440,1,3,4.85500284584608,0,1.0,0.0
460,0.005,10.0,1.0,27.0,2.2885000000000004,1.5127788999057332,23.0,0_1_22,460,460,4,2,3.0158502026192315,0,1.0,0.0
480,0.005,10.0,1.0,26.0,2.388,1.5453155017665485,24.0,0_1_23,480,480,1,5,5.11790575173985,0,1.0,0.0
500,0.005,10.0,1.0,30.0,2.4875,1.5771810295587503,25.0,0_1_24,500,500,6,2,2.630065656504465,0,1.0,0.0
20,0.005,5.0,1.0,1.0,0.0995,0.3154362059117501,1.0,0_2_0,20,20,0,0,0.00048059617334422625,0,1.0,1.0
40,0.005,5.0,1.0,1.0,0.199,0.44609416046390926,1.0,0_2_1,40,40,0,0,0.00012759943284404454,0,1.0,1.0
60,0.005,5.0,1.0,3.0,0.2985,0.5463515351859094,2.0,0_2_2,60,60,0,0,0.3122868258958895,0,1.0,1.0
80,0.005,5.0,1.0,2.0,0.398,0.6308724118235002,2.0,0_2_3,80,80,0,1,0.12234620709801249,0,1.0,0.0
100,0.005,5.0,1.0,4.0,0.4975,0.7053367989832943,3.0,0_2_4,100,100,1,1,-0.090510963063384,0,1.0,0.0
120,0.005,5.0,1.0,4.0,0.597,0.7726577508832743,3.0,0_2_5,120,120,0,0,0.5162259704191346,0,1.0,1.0
140,0.005,5.0,1.0,5.0,0.6965,0.834565755348253,4.0,0_2_6,140,140,1,1,0.037252732982196175,0,1.0,0.0
160,0.005,5.0,1.0,4.0,0.796,0.8921883209278185,4.0,0_2_7,160,160,1,1,-0.09288334714689951,0,1.0,0.0
