N,q,N2_func,mobile,n,variance,std,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,0_0_0,100,100,3,1,-0.15530455561761788,0,1.0,0.0
200,0.01,10.0,1.0,27.0,1.98,1.407124727947029,20.0,0_0_1,200,200,4,2,3.205888682583078,0,1.0,0.0
300,0.01,10.0,1.0,34.0,2.9699999999999998,1.7233687939614086,30.0,0_0_2,300,300,1,6,7.557117163974563,0,1.0,0.0
400,0.01,10.0,1.0,41.0,3.96,1.98997487421324,40.0,0_0_3,400,400,3,3,7.4480342638111825,0,1.0,0.0
500,0.01,15.0,1.0,79.0,4.95,2.224859546128699,75.0,0_0_4,500,500,5,5,16.617942800463503,0,1.0,0.0
600,0.01,15.0,1.0,96.0,5.9399999999999995,2.437211521390788,90.0,0_0_5,600,600,9,5,17.964697361533595,0,1.0,0.0
700,0.01,15.0,1.0,116.0,6.93,2.6324893162176366,105.0,0_0_6,700,700,4,6,28.72448509812619,0,1.0,0.0
800,0.01,15.0,1.0,127.0,7.92,2.814249455894058,120.0,0_0_7,800,800,7,7,28.595462123483664,0,1.0,0.0
900,0.01,15.0,1.0,142.0,8.91,2.98496231131986,135.0,0_0_8,900,900,10,11,30.04780291136983,0,1.0,0.0
1000,0.01,20.0,1.0,207.0,9.9,3.146426544510455,200.0,0_0_9,1000,1000,8,8,52.549837588288774,0,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,0_1_0,100,100,3,0,-0.20284186739950397,0,1.0,0.0
200,0.01,10.0,1.0,25.0,1.98,1.407124727947029,20.0,0_1_1,200,200,0,4,6.345962380926157,0,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,0_1_2,300,300,7,3,2.9214602503793574,0,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,0_1_3,400,400,7,6,5.1741436530233935,0,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,0_1_4,500,500,7,8,14.549132997435448,0,1.0,0.0
600,0.01,15.0,1.0,92.0,5.9399999999999995,2.437211521390788,90.0,0_1_5,600,600,7,9,18.436158504004094,0,1.0,0.0
700,0.01,15.0,1.0,113.0,6.93,2.6324893162176366,105.0,0_1_6,700,700,13,5,19.602195384571072,0,1.0,0.0
800,0.01,15.0,1.0,126.0,7.92,2.814249455894058,120.0,0_1_7,800,800,7,9,28.28119113853447,0,1.0,0.0
900,0.01,15.0,1.0,143.0,8.91,2.98496231131986,135.0,0_1_8,900,900,15,8,26.22444217411264,0,1.0,0.0
1000,0.01,20.0,1.0,207.0,9.9,3.146426544510455,200.0,0_1_9,1000,1000,12,8,48.227592079343694,0,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,0_2_0,100,100,2,2,-0.030360156630361023,0,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,0_2_1,200,200,0,1,5.501763424999207,0,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,0_2_2,300,300,1,1,6.990985639313587,0,1.0,0.0
400,0.01,10.0,1.0,45.0,3.96,1.98997487421324,40.0,0_2_3,400,400,7,5,5.673441759578398,0,1.0,0.0
500,0.01,15.0,1.0,84.0,4.95,2.224859546128699,75.0,0_2_4,500,500,2,6,21.547675544612588,0,1.0,0.0
600,0.01,15.0,1.0,96.0,5.9399999999999995,2.437211521390788,90.0,0_2_5,600,600,5,8,21.563091392904457,0,1.0,0.0
700,0.01,15.0,1.0,114.0,6.93,2.6324893162176366,105.0,0_2_6,700,700,6,8,25.852579740816765,0,1.0,0.0
800,0.01,15.0,1.0,128.0,7.92,2.814249455894058,120.0,0_2_7,800,800,4,6,32.27269074860075,0,1.0,0.0
900,0.01,15.0,1.0,141.0,8.91,2.98496231131986,135.0,0_2_8,900,900,9,10,30.676981865952385,0,1.0,0.0
1000,0.01,20.0,1.0,209.0,9.9,3.146426544510455,200.0,0_2_9,1000,1000,10,18,50.934786376023006,0,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,1_0_0,100,100,1,0,0.39865831287965103,1,1.0,0.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,1_0_1,200,200,2,0,3.547307271559497,1,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,1_0_2,300,300,3,4,5.332399981868789,1,1.0,0.0
400,0.01,10.0,1.0,44.0,3.96,1.98997487421324,40.0,1_0_3,400,400,5,5,6.696886240344586,1,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,1_0_4,500,500,9,5,13.893132536483419,1,1.0,0.0
600,0.01,15.0,1.0,95.0,5.9399999999999995,2.437211521390788,90.0,1_0_5,600,600,5,11,21.238188907124478,1,1.0,0.0
700,0.01,15.0,1.0,117.0,6.93,2.6324893162176366,105.0,1_0_6,700,700,5,7,27.879513385454096,1,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,1_0_7,800,800,7,6,29.224094962795807,1,1.0,0.0
900,0.01,15.0,1.0,145.0,8.91,2.98496231131986,135.0,1_0_8,900,900,9,13,31.901165880060688,1,1.0,0.0
1000,0.01,20.0,1.0,216.0,9.9,3.146426544510455,200.0,1_0_9,1000,1000,10,13,53.27079727134048,1,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,1_1_0,100,100,2,1,-0.026175297883138916,1,1.0,0.0
200,0.01,10.0,1.0,20.0,1.98,1.407124727947029,20.0,1_1_1,200,200,2,2,2.739032514383324,1,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,1_1_2,300,300,3,6,5.05035786077544,1,1.0,0.0
400,0.01,10.0,1.0,42.0,3.96,1.98997487421324,40.0,1_1_3,400,400,2,3,8.697019448232844,1,1.0,0.0
500,0.01,15.0,1.0,84.0,4.95,2.224859546128699,75.0,1_1_4,500,500,7,4,16.344774128322314,1,1.0,0.0
600,0.01,15.0,1.0,94.0,5.9399999999999995,2.437211521390788,90.0,1_1_5,600,600,7,7,19.042493371659273,1,1.0,0.0
700,0.01,15.0,1.0,113.0,6.93,2.6324893162176366,105.0,1_1_6,700,700,12,3,20.336576587182673,1,1.0,0.0
800,0.01,15.0,1.0,127.0,7.92,2.814249455894058,120.0,1_1_7,800,800,6,8,29.63342540001195,1,1.0,0.0
