N,q,N2_func,mobile,n,variance,std,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,0_0_0,1000,1000,8,8,1.357080238265187,0,1.0,0.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,0_0_1,1000,1000,14,2,6.522264025774545,0,1.0,0.0
300,0.01,10.0,1.0,36.0,2.9699999999999998,1.7233687939614086,30.0,0_0_2,1000,1000,11,7,12.420530369100147,0,1.0,0.0
400,0.01,10.0,1.0,46.0,3.96,1.98997487421324,40.0,0_0_3,1000,1000,13,11,12.68245683458239,0,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,0_0_4,1000,1000,6,19,30.395954925513532,0,1.0,0.0
600,0.01,15.0,1.0,99.0,5.9399999999999995,2.437211521390788,90.0,0_0_5,1000,1000,9,6,30.926767836603585,0,1.0,0.0
700,0.01,15.0,1.0,118.0,6.93,2.6324893162176366,105.0,0_0_6,1000,1000,4,6,39.494419171395556,0,1.0,0.0
800,0.01,15.0,1.0,127.0,7.92,2.814249455894058,120.0,0_0_7,1000,1000,8,9,34.04465705950834,0,1.0,0.0
900,0.01,15.0,1.0,146.0,8.91,2.98496231131986,135.0,0_0_8,1000,1000,10,6,34.65789396160205,0,1.0,0.0
1000,0.01,20.0,1.0,204.0,9.9,3.146426544510455,200.0,0_0_9,1000,1000,10,13,49.30553987424368,0,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,0_1_0,1000,1000,12,17,0.8023920312030441,0,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,0_1_1,1000,1000,7,16,10.060114090690893,0,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,0_1_2,1000,1000,9,7,11.860503202884772,0,1.0,0.0
400,0.01,10.0,1.0,41.0,3.96,1.98997487421324,40.0,0_1_3,1000,1000,17,13,8.663372123756982,0,1.0,0.0
500,0.01,15.0,1.0,79.0,4.95,2.224859546128699,75.0,0_1_4,1000,1000,7,9,28.492637440888938,0,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,0_1_5,1000,1000,9,7,30.061180762057752,0,1.0,0.0
700,0.01,15.0,1.0,111.0,6.93,2.6324893162176366,105.0,0_1_6,1000,1000,12,11,28.70231861692122,0,1.0,0.0
800,0.01,15.0,1.0,126.0,7.92,2.814249455894058,120.0,0_1_7,1000,1000,18,13,25.553553396406873,0,1.0,0.0
900,0.01,15.0,1.0,146.0,8.91,2.98496231131986,135.0,0_1_8,1000,1000,6,5,38.82179978303928,0,1.0,0.0
1000,0.01,20.0,1.0,218.0,9.9,3.146426544510455,200.0,0_1_9,1000,1000,9,8,55.07829784269837,0,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,0_2_0,1000,1000,11,14,1.4432349732184984,0,1.0,0.0
200,0.01,10.0,1.0,24.0,1.98,1.407124727947029,20.0,0_2_1,1000,1000,4,9,13.470347361850438,0,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,0_2_2,1000,1000,7,6,12.496944826681554,0,1.0,0.0
400,0.01,10.0,1.0,41.0,3.96,1.98997487421324,40.0,0_2_3,1000,1000,14,10,9.944962068428062,0,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,0_2_4,1000,1000,6,11,29.92873522349781,0,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,0_2_5,1000,1000,9,10,30.056110902928648,0,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,0_2_6,1000,1000,8,10,32.61976845016648,0,1.0,0.0
800,0.01,15.0,1.0,128.0,7.92,2.814249455894058,120.0,0_2_7,1000,1000,8,9,34.408325631349044,0,1.0,0.0
900,0.01,15.0,1.0,146.0,8.91,2.98496231131986,135.0,0_2_8,1000,1000,13,9,31.98342570941461,0,1.0,0.0
1000,0.01,20.0,1.0,206.0,9.9,3.146426544510455,200.0,0_2_9,1000,1000,12,15,47.88388907227878,0,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,1_0_0,1000,1000,11,10,1.4470742527894596,1,1.0,0.0
200,0.01,10.0,1.0,24.0,1.98,1.407124727947029,20.0,1_0_1,1000,1000,10,9,9.91645868331257,1,1.0,0.0
300,0.01,10.0,1.0,31.0,2.9699999999999998,1.7233687939614086,30.0,1_0_2,1000,1000,9,16,10.736753849478152,1,1.0,0.0
400,0.01,10.0,1.0,46.0,3.96,1.98997487421324,40.0,1_0_3,1000,1000,6,16,17.164962273518935,1,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,1_0_4,1000,1000,12,8,25.32107796290819,1,1.0,0.0
600,0.01,15.0,1.0,93.0,5.9399999999999995,2.437211521390788,90.0,1_0_5,1000,1000,11,16,26.670519987295332,1,1.0,0.0
700,0.01,15.0,1.0,113.0,6.93,2.6324893162176366,105.0,1_0_6,1000,1000,13,11,28.666553126284164,1,1.0,0.0
800,0.01,15.0,1.0,132.0,7.92,2.814249455894058,120.0,1_0_7,1000,1000,12,9,32.15299207518606,1,1.0,0.0
900,0.01,15.0,1.0,149.0,8.91,2.98496231131986,135.0,1_0_8,1000,1000,7,7,38.723634520981626,1,1.0,0.0
1000,0.01,20.0,1.0,209.0,9.9,3.146426544510455,200.0,1_0_9,1000,1000,7,5,54.43575863005315,1,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,1_1_0,1000,1000,8,6,1.3580469752871955,1,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,1_1_1,1000,1000,8,9,9.566051628777416,1,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,1_1_2,1000,1000,13,4,9.862164264165099,1,1.0,0.0
400,0.01,10.0,1.0,47.0,3.96,1.98997487421324,40.0,1_1_3,1000,1000,5,13,18.538013376617684,1,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,1_1_4,1000,1000,14,8,23.46157300565054,1,1.0,0.0
600,0.01,15.0,1.0,99.0,5.9399999999999995,2.437211521390788,90.0,1_1_5,1000,1000,14,10,26.889521407243265,1,1.0,0.0
700,0.01,15.0,1.0,111.0,6.93,2.6324893162176366,105.0,1_1_6,1000,1000,10,5,30.40003259194886,1,1.0,0.0
